algo,inst,arm,t,bestcmax
abce3,ft10,V2,16.2,961.70
abce3,ft10,V2,16.4,961.70
abce3,ft10,V2,16.6,961.70
abce3,ft10,V2,16.8,961.70
abce3,ft10,V2,17.0,961.70
abce3,ft10,V2,17.2,961.70
abce3,ft10,V2,17.4,961.70
abce3,ft10,V2,17.6,961.70
abce3,ft10,V2,17.8,961.70
abce3,ft10,V2,18.0,961.70
abce3,ft10,V2,18.2,961.70
abce3,ft10,V2,18.4,961.70
abce3,ft10,V2,18.6,961.70
abce3,ft10,V2,18.8,961.70
abce3,ft10,V2,19.0,961.70
abce3,ft10,V2,19.2,961.70
abce3,ft10,V2,19.4,961.70
abce3,ft10,V2,19.6,961.70
abce3,ft10,V2,19.8,961.70
abce3,ft10,V2,20.0,961.70
abce3,ft10,V2,20.2,957.60
abce3,ft10,V2,20.4,957.60
abce3,ft10,V2,20.6,957.60
abce3,ft10,V2,20.8,957.60
abce3,ft10,V2,21.0,957.60
abce3,ft10,V2,21.2,957.60
abce3,ft10,V2,21.4,957.60
abce3,ft10,V2,21.6,957.60
