"inst","clase","arm","frac","rpd"
"tai30_20_04","30x20","GP",0.1,1.54471544715448
"tai30_20_04","30x20","MIX",0.1,2.15686274509803
"tai30_20_04","30x20","A0",0.25,-0.100430416068862
"tai30_20_04","30x20","V2H",0.25,-1.04734576757533
"tai30_20_04","30x20","V2",0.25,-0.526064084170254
"tai30_20_04","30x20","MOR",0.25,2.08034433285509
"tai30_20_04","30x20","GT",0.25,0.153036824485883
"tai30_20_04","30x20","GP",0.25,-0.401721664275471
"tai30_20_04","30x20","MIX",0.25,-0.607364897178375
"tai30_20_04","30x20","A0",0.5,-1.07604017216643
"tai30_20_04","30x20","V2H",0.5,-0.282161645145868
"tai30_20_04","30x20","V2",0.5,-0.659971305595418
"tai30_20_04","30x20","MOR",0.5,1.50167384026782
"tai30_20_04","30x20","GT",0.5,-0.172166427546624
"tai30_20_04","30x20","GP",0.5,-0.717360114777618
"tai30_20_04","30x20","MIX",0.5,-1.15734098517455
"tai30_20_04","30x20","A0",1,-0.478240076518412
"tai30_20_04","30x20","V2H",1,-1.00908656145385
"tai30_20_04","30x20","V2",1,-0.726924916307978
"tai30_20_04","30x20","MOR",1,1.51602104256336
"tai30_20_04","30x20","GT",1,-0.425633668101391
"tai30_20_04","30x20","GP",1,-0.535628885700613
